rep,L,closed,numeric,abs_diff,max_K_drop
0,2,6.270139538248984,6.270139538248984,0.0,4.765206381256544
1,8,23.396162172971152,23.396162172971152,0.0,3.87706349420211
2,8,56.722156106400234,56.722156106400234,0.0,5.069306556938859
3,5,9.9915062318677,9.9915062318677,0.0,3.2965592298863564
4,4,122.71862338841233,122.71862338841233,0.0,2.5423247183206605
5,8,19.157087670642166,19.157087670642166,0.0,2.157744881607915
6,2,21.681659841606105,21.681659841606105,0.0,0.0
7,4,7.86287220119769,7.86287220119769,0.0,5.111674971590813
8,8,18.271308007176778,18.271308007176778,0.0,3.4273136615747166
9,8,13.048306419616294,13.048306419616294,0.0,3.179329609421048
10,4,6.392248774644913,6.392248774644913,0.0,1.4641624853872337
11,7,21.392979571581016,21.392979571581016,0.0,5.530041295889997
12,5,10.118319246764852,10.118319246764852,0.0,5.971702294445132
13,10,22.830418151295042,22.830418151295042,0.0,5.229654299744048
14,10,53.05231953590587,53.05231953590587,0.0,5.497156346671947
15,10,14.846263234398842,14.846263234398842,0.0,4.391026734976178
16,2,8.013327897694696,8.013327897694696,0.0,0.0
17,8,59.81700402266529,59.81700402266529,0.0,4.171813892649622
18,8,83.47162015559147,83.47162015559147,0.0,2.090591191854556
19,9,42.588380422809834,42.588380422809834,0.0,5.967966123042159
20,8,50.48696593561311,50.48696593561311,0.0,6.38048686199437
21,2,6.6237625444410035,6.6237625444410035,0.0,0.0
22,2,30.281562349122513,30.281562349122513,0.0,0.0
23,2,3.886899140270776,3.886899140270776,0.0,1.0822546917286724
24,7,9.246603118208359,9.246603118208359,0.0,1.4561234817214894
25,9,11.06556863736712,11.06556863736712,0.0,4.206659696558122
26,6,35.8942190839438,35.8942190839438,0.0,1.6368971557880663
27,9,26.081129553074845,26.081129553074845,0.0,6.410870912792934
28,6,6.63143355117192,6.63143355117192,0.0,1.2389438194761797
29,7,9.315070405469596,9.315070405469598,1.7763568394002505e-15,6.578457054015718
30,3,70.48507855105143,70.48507855105143,0.0,4.187319838232627
31,3,11.772930138987272,11.772930138987272,0.0,5.298574433039702
32,5,23.39897542015739,23.39897542015739,0.0,6.857467775968031
33,10,162.14079178448372,162.14079178448372,0.0,6.302848460955702
34,6,22.676913459823812,22.676913459823812,0.0,4.278478848423434
35,3,62.45891281488192,62.45891281488192,0.0,4.237958465557128
36,5,14.103407320359699,14.103407320359699,0.0,5.0929863862426785
37,2,5.75306134702926,5.75306134702926,0.0,6.258027816226138
38,6,18.3807999133189,18.3807999133189,0.0,1.7602639445782722
39,6,47.312823311765705,47.312823311765705,0.0,2.656129347106208
40,4,8.896467126130748,8.896467126130748,0.0,0.0
41,9,14.264256987640637,14.264256987640639,1.7763568394002505e-15,5.751276813003617
42,5,29.968095726226856,29.968095726226856,0.0,3.6430327133271727
43,5,35.0974697321496,35.097469732149605,7.105427357601002e-15,3.421992239775741
44,3,11.808838006308337,11.808838006308337,0.0,2.468935114346306
45,9,43.47926469831532,43.47926469831532,0.0,3.232479666220898
46,7,10.117857029291244,10.117857029291244,0.0,4.02649967561336
47,2,31.024730215735,31.024730215735,0.0,2.2633929142767757
48,5,38.144984331001105,38.144984331001105,0.0,4.670185608591296
49,3,5.417723920479954,5.417723920479954,0.0,0.0
